,cpu,screen_size,ram,graphic_ram,hdd,ssd,prices,is_unified,company
404,Ryzen 7,16.0,8,2.0,0,512,28190000,0,asus
406,Ryzen 5,15.6,8,4.0,0,512,28000000,0,acer
407,Ryzen 5,15.6,8,0.0,0,512,22599000,1,asus
408,Core i7,15.6,12,2.0,1000,256,27149000,0,acer
409,Core i7,15.6,16,2.0,1000,256,34700000,0,lenovo
411,Core i7,15.6,16,8.0,0,512,58588820,0,lenovo
412,Core i3,15.6,8,2.0,0,512,16100000,0,lenovo
414,Athlon,11.0,4,0.0,0,128,9438000,1,lenovo
415,Core i5,15.6,8,4.0,0,512,32100000,0,msi
416,Core i7,15.6,8,2.0,0,512,27084000,0,asus
417,Core i7,15.6,8,4.0,0,512,45800000,0,msi
418,Core i7,15.6,16,0.0,0,512,28100000,1,asus
420,Celeron,14.0,4,0.0,0,128,10500000,1,asus
421,Core i7,14.0,16,2.0,0,1000,68797000,0,asus
422,Core i5,15.6,8,4.0,0,512,32300000,0,hp
423,Core i5,15.6,8,2.0,0,1000,22100000,0,lenovo
424,Core i9,16.0,64,8.0,0,2000,324979000,0,asus
425,Core i7,15.6,16,0.0,0,512,34600000,1,other
426,Core i7,16.0,16,8.0,0,1000,71450000,0,lenovo
427,Core i3,15.6,4,0.0,1000,0,14499000,1,acer
428,Core i5,17.3,8,4.0,0,512,45595000,0,asus
429,Core i7,15.6,32,8.0,0,2000,65479000,0,lenovo
430,Core i9,15.6,16,6.0,0,1000,64279000,0,acer
431,Core i9,17.3,32,16.0,0,1000,171150000,0,hp
432,Core i5,15.6,8,4.0,1000,1000,33990000,0,hp
434,Ryzen 7,15.6,16,4.0,0,512,38899000,0,lenovo
435,Core i5,15.6,8,0.0,0,512,29950000,1,msi
436,Core i7,15.6,16,4.0,0,1000,49300000,0,hp
437,Core i7,15.6,12,2.0,1000,256,27891000,0,lenovo
439,Core i5,15.6,16,4.0,0,512,34870000,0,asus
440,Core i7,15.6,16,6.0,0,1000,67390000,0,msi
441,Core i7,14.0,16,4.0,0,1000,73079000,0,asus
443,Core i7,15.6,16,6.0,0,1000,52799000,0,acer
444,Core i9,15.0,16,4.0,0,512,55300000,0,apple
445,Core i5,15.6,8,4.0,1000,256,33696000,0,lenovo
446,Core i7,14.0,16,0.0,0,512,77499000,1,dell
447,Core i7,15.6,8,2.0,0,512,32600000,0,acer
